Parking Occupancy : Fall 2025 Week 1,,,,,,
"Friday, October 3, 2025",,,Available Spaces,,,
Space Type,,Location,8:00 AM,10:00 AM,12:00 PM,2:00 PM
A,Structure,8980,27,24,24,23
A,,Athena,178,117,106,102
A,,Campus Point East,102,69,36,39
A,,Campus Point West,1,0,0,0
A,,Gilman,341,219,133,142
A,,Hopkins,251,217,144,146
A,,Pangea,53,71,51,40
A,,Scholars,317,287,230,178
A,,South,434,255,165,203
A,,TDLLN,178,142,93,108
A,Surface Lot,P201,5,0,0,2
A,,P206,0,15,7,8
A,,P351,3,1,0,4
A,,P402,4,3,3,3
A,,P414,0,1,1,1
A,,P503,0,0,0,0
A,,P506,0,0,0,0
A,,P508,0,0,0,0
A,,P510,0,0,1,0
A,,P602,33,16,29,16
A,,P603,20,7,1,2
A,,P610,45,0,1,5
A,,P706,6,1,1,1
A,,P759,2,2,1,3
B,Structure,8980,24,13,8,19
B,,Athena,213,118,110,121
B,,Gilman,1,1,1,7
B,,Hopkins,262,538,361,177
B,,Mesa Canyon,43,21,34,51
B,,Pangea,97,62,25,18
B,,Scholars,95,7,4,4
B,,South,221,2,14,75
B,,TDLLN,221,127,87,95
B,,Torrey Pines Center North,105,92,75,74
B,,Torrey Pines Center South,56,45,37,39
B,Surface Lot,P001,0,0,0,0
B,,P002,27,24,13,18
B,,P003,51,22,10,21
B,,P006,1,0,0,0
B,,P007,17,1,0,1
B,,P008,10,0,1,1
B,,P010,16,1,2,3
B,,P011,13,6,3,3
B,,P012,9,1,1,0
B,,P013,9,27,1,5
B,,P014,70,14,12,16
B,,P032,7,0,0,2
B,,P206,0,0,0,0
B,,P303,78,16,0,0
B,,P304,55,48,26,25
B,,P357,2,0,0,2
B,,P359,4,6,4,3
B,,P384,140,63,35,25
B,,P406,8,4,4,5
B,,P503,0,0,0,0
B,,P507,19,11,6,5
B,,P510,0,0,0,0
B,,P604,,,,
B,,P702,55,42,34,39
B,,P706,6,1,1,1
B,,P707,63,46,39,42
B,,P784,0,0,0,0
B,,P785,72,51,36,42
S,Structure,8980,82,79,46,52
S,,Pangea,78,43,0,0
S,Surface Lot,P014,21,0,6,8
S,,P016,48,74,29,33
S,,P021,75,72,73,74
S,,P701,256,242,251,237
SR,Structure,Hopkins,21,19,3,0
SR,,Pangea,91,100,74,85
SR,,Scholars,41,26,10,8
SR,,South,38,32,26,32
SR,,TDLLN,38,40,36,46
SR,Surface Lot,P401,76,42,47,53
SR,,P504,3,6,5,5
Visitor,Structure,8980,43,41,34,41
Visitor,,Athena,137,92,103,111
Visitor,,Campus Point East,157,102,115,118
Visitor,,Campus Point West,341,272,279,282
Visitor,,Gilman,120,22,6,24
Visitor,,Hopkins,69,53,39,23
Visitor,,Pangea,49,41,31,29
Visitor,,Scholars,114,64,17,39
Visitor,,South,110,80,60,69
Visitor,,TDLLN,72,52,67,76
Visitor,,Torrey Pines Center North,8,6,4,3
Visitor,,Torrey Pines Center South,6,4,3,3
Visitor,Surface Lot,P014,2,34,1,0
Visitor,,P017,250,72,38,63
Visitor,,P032,8,0,2,1
Visitor,,P106,2,2,0,2
Visitor,,P113,20,3,6,3
Visitor,,P206,0,2,1,0
Visitor,,P303,25,15,12,14
Visitor,,P357,3,1,0,0
Visitor,,P385,153,104,74,70
Visitor,,P402,1,1,2,1
Visitor,,P503,1,1,1,2
Visitor,,P504,2,1,1,1
Visitor,,P506,7,2,1,1
Visitor,,P507,0,0,0,0
Visitor,,P508,0,0,0,0
Visitor,,P510,4,3,1,0
Visitor,,P602,6,4,1,4
Visitor,,P603,11,10,6,6
Visitor,,P703,4,6,9,7
Visitor,,P752,4,0,0,0